global_run_id,area_pyung,run,zone,zone_count,cleaning_type,obstacle_level,zone_area_ratio_pct,zone_area_m2,floor_type,dirt_level,effective_suction_mode,suction_power_w,brush_power_w,pump_power_w,water_supply_power_w,sensor_power_w,wheel_power_w,zone_time_min,battery_capacity_wh,start_soc_pct,zone_soc_used_pct,zone_target_soc_pct,zone_power_w,zone_energy_wh,soc_before_zone_pct,soc_after_zone_pct,zone_progress_pct,run_total_soc_pct,run_total_energy_wh,run_total_time_min,run_end_soc_pct,needs_recharge,charge_count,charge_event_count_in_zone,is_charge_zone,is_first_charge_zone,is_second_charge_zone,first_charge_zone,first_charge_progress_pct,first_charge_cleaned_area_m2,first_charge_remaining_area_m2,first_charge_soc_at_dock_pct,first_charge_target_soc_pct,first_charge_charged_soc_pct,first_charge_time_min,second_charge_zone,second_charge_progress_pct,second_charge_cleaned_area_m2,second_charge_remaining_area_m2,second_charge_soc_at_dock_pct,second_charge_target_soc_pct,second_charge_charged_soc_pct,second_charge_time_min
18평_1,18.0,1,1,4,물걸레,보통,31.215,15.231,저파일 러그,낮음,중,14.8,6.83,0.5,3.0,4.91,2.84,7.398,74.88,80.0,5.339,20.339,32.425,3.998,80.0,74.661,31.216,23.393,17.517,26.178,56.607,무충전 완주 가능,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18평_1,18.0,1,2,4,물걸레,보통,27.679,13.505,장판/PVC,높음,중,14.8,6.83,0.5,3.0,4.91,2.84,8.2,74.88,80.0,6.004,21.004,32.898,4.496,74.661,68.657,58.894,23.393,17.517,26.178,56.607,무충전 완주 가능,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18평_1,18.0,1,3,4,물걸레,보통,26.966,13.158,저파일 러그,낮음,중,14.8,6.83,0.5,3.0,4.91,2.84,6.391,74.88,80.0,4.652,19.652,32.699,3.483,68.657,64.006,85.861,23.393,17.517,26.178,56.607,무충전 완주 가능,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18평_1,18.0,1,4,4,물걸레,보통,14.14,6.899,고파일 카펫,높음,터보,63.25,9.0,0.5,3.0,4.91,2.84,4.189,74.88,80.0,7.399,22.399,79.351,5.54,64.006,56.607,100.0,23.393,17.517,26.178,56.607,무충전 완주 가능,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18평_10,18.0,10,1,4,물걸레,적음,24.728,12.065,장판/PVC,낮음,약,8.0,6.83,0.5,3.0,4.91,2.84,5.157,74.88,80.0,3.01,18.01,26.225,2.254,80.0,76.99,24.727,13.069,9.786,20.856,66.931,무충전 완주 가능,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18평_10,18.0,10,2,4,물걸레,적음,28.825,14.065,장판/PVC,낮음,약,8.0,6.83,0.5,3.0,4.91,2.84,6.012,74.88,80.0,3.494,18.494,26.118,2.617,76.99,73.495,53.553,13.069,9.786,20.856,66.931,무충전 완주 가능,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18평_10,18.0,10,3,4,물걸레,적음,27.135,13.24,저파일 러그,낮음,중,14.8,6.83,0.5,3.0,4.91,2.84,5.659,74.88,80.0,4.209,19.209,33.419,3.152,73.495,69.286,80.688,13.069,9.786,20.856,66.931,무충전 완주 가능,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18평_10,18.0,10,4,4,물걸레,적음,19.313,9.423,장판/PVC,낮음,약,8.0,6.83,0.5,3.0,4.91,2.84,4.028,74.88,80.0,2.355,17.355,26.261,1.763,69.286,66.931,100.0,13.069,9.786,20.856,66.931,무충전 완주 가능,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18평_100,18.0,100,1,4,건식,많음,32.102,15.664,마루/타일,낮음,약,8.0,6.83,0.0,0.0,4.91,2.84,9.565,74.88,80.0,4.812,19.812,22.601,3.603,80.0,75.188,32.103,16.474,12.336,30.461,63.526,무충전 완주 가능,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18평_100,18.0,100,2,4,건식,많음,22.383,10.921,장판/PVC,보통,중,14.8,6.83,0.0,0.0,4.91,2.84,7.336,74.88,80.0,4.827,19.827,29.558,3.614,75.188,70.361,54.485,16.474,12.336,30.461,63.526,무충전 완주 가능,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
